input_text,target_text
admiration to approval: The entire relay through Mainland China was largely a success with many people welcoming the arrival of the torch along the way.,The entire relay through Mainland China was largely a success with many people welcoming the arrival of the torch along the way.
"excitement to admiration: At the 23rd Japan Gold Disc Awards, Madonna received her fifth Artist of the Year trophy from Recording Industry Association of Japan, the most for any artist.","Madonna was recognized as the Artist of the Year for the fifth time at the 23rd Japan Gold Disc Awards by the Recording Industry Association of Japan, making her the most awarded artist."
"disappointment to disapproval: Usually we lost; but when you're only 140 out of 435, you don't expect to win many.","We were accustomed to losing, given that we were only 140 out of 435, winning wasn't probable."
"admiration to approval: This development will mark the beginning of the ""great tribulation"".","This development will inaugurate the commencement of the ""great tribulation""."
"disappointment to disapproval: However, meteorological conditions over Britain were not favourable for flying and prevented an escalation in air operations.","However, meteorological conditions over Britain were not favourable for flying and prevented an escalation in air operations."
"sadness to disappointment: The proletariat was often exploited, and found no legal protection or political recourse to redress injustices.",The working class was regularly mistreated and had no legal or political options to rectify wrongs.
disappointment to disapproval: But several proposals have failed so far; territorial reform remains a controversial topic in German politics and public perception.,But several proposals have failed so far; territorial reform remains a controversial topic in German politics and public perception.
"sadness to disappointment: The period of division ended when the Sui Dynasty reunified China and almost destroyed the entire city, turning it into a small town.","The period of division ended when the Sui Dynasty reunified China and almost destroyed the entire city, turning it into a small town."
disappointment to disapproval: This phenomenon is known as the West Lothian question and has led to criticism.,"This phenomenon, known as the West Lothian question, has been criticized."
admiration to approval: The major cultural achievements were the development of drama and the novel and the increased use of the written vernacular.,"The cultural progress was marked by the growth of drama and the novel, as well as the greater use of written vernacular."
"sadness to disappointment: Seattle was mildly prosperous in the 1920s but was particularly hard hit in the Great Depression, experiencing some of the country's harshest labor strife in that era.","The 1920s brought some prosperity to Seattle, but the city was devastated by the Great Depression and experienced some of the most intense labor strife in the country during that period."
"realization to sadness: In the end, the Fujiwara were destroyed, the old system of government supplanted, and the insei system left powerless as bushi took control of court affairs, marking a turning point in Japanese history.","In the end, the Fujiwara were destroyed, the old system of government supplanted, and the insei system left powerless as bushi took control of court affairs, marking a turning point in Japanese history."
admiration to approval: This unique period of American primacy has been an important factor in maintaining a condition of peace between the great powers.,The singular epoch of American predominance has been a vital element in maintaining a situation of nonviolence among the major nations.
"sadness to remorse: So, while the struggle to end child labour is necessary, getting there often requires taking different routes—and, sadly, there are many political obstacles.","The eradication of child labour is necessary, but attaining it may involve taking diverse paths, and regrettably, there are many political impediments."
"sadness to disappointment: Latinos have encountered considerable discrimination in areas such as employment, housing, and education.","Latinos have encountered considerable discrimination in areas such as employment, housing, and education."
"admiration to approval: However, since that time, Miami has experienced a revival: in 2008, Miami was ranked as ""America's Cleanest City"" according to Forbes for its year-round good air quality, vast green spaces, clean drinking water, clean streets and city-wide recycling programs.","However, since that time, Miami has experienced a revival: in 2008, Miami was ranked as ""America's Cleanest City"" according to Forbes for its year-round good air quality, vast green spaces, clean drinking water, clean streets and city-wide recycling programs."
"approval to confusion: The majority of experts agree that the earliest pre-modern human migration via Beringia took place at least 13,500 years ago, with disputed evidence that people had migrated into the Americas much earlier, up to 40,000 years ago.","The consensus among experts is that the earliest pre-modern human migration through Beringia occurred at least 13,500 years ago, although there is disputed evidence that people had migrated into the Americas much earlier, up to 40,000 years ago."
confusion to disapproval: Accurate present day child labour information is difficult to obtain because of disagreements between data sources as to what constitutes child labour.,Obtaining accurate information on child labour in the present day is difficult because data sources have conflicting views on what constitutes child labour.
"optimism to approval: The thoughts, ideas and concepts developed at this period of life greatly influence one's future life, playing a major role in character and personality formation.","The thoughts, ideas and concepts developed at this period of life greatly influence one's future life, playing a major role in character and personality formation."
"fear to nervousness: While parents never had to worry about the threats of social media in the past, it has become a dangerous place for children.","Social media was not a threat to children in the past, but it has now become a dangerous place for them, causing concern for parents."
approval to realization: Advances in understanding genes and inheritance continued throughout the 20th century.,"Throughout the 20th century, there were ongoing developments in the understanding of genes and inheritance."
"fear to nervousness: A collection of German states intended to serve as a buffer zone between France and Central Europe, the creation of the Confederation spelled the end of the Holy Roman Empire and significantly alarmed the Prussians.","The Confederation, a collection of German states created to serve as a barrier between France and Central Europe, marked the end of the Holy Roman Empire and greatly worried the Prussians."
"admiration to approval: It was the largest suburban shopping center in the world, and quickly became the main shopping destination for northern and western Detroit, and for much of the suburbs.","It was the most extensive suburban shopping center in the world, and it quickly became the primary shopping hub for northern and western Detroit, as well as much of the surrounding suburbs."
"disappointment to disapproval: This action greatly displeased his mother, who was also a professor at the university.","This action did not sit well with his mother, who was also a professor at the university."
surprise to disappointment: Madonna once again confounds our expectations.,Madonna once again confounds our expectations.
admiration to approval: The site is now listed on the National Register of Historic Places and receives thousands of visitors each year.,The site is now listed on the National Register of Historic Places and receives thousands of visitors each year.
"realization to nervousness: After the First World War, however, it became apparent that the number of mixed-race people was growing at a faster rate than the white population, and by 1930 fear of the ""half-caste menace"" undermining the White Australia ideal from within was being taken as a serious concern.","The faster growth rate of mixed-race individuals compared to the white population after the First World War led to concerns about the ""half-caste menace"" undermining the White Australia ideal from within, which became a serious concern by 1930."
"approval to disapproval: The Queen had a relatively balanced view of the conflict, and condemned atrocities on both sides.",The Queen possessed a just viewpoint on the conflict and disapproved of wrongdoing from both groups.
sadness to disappointment: The war had shattered the prosperity of the antebellum city.,The war had shattered the prosperity of the antebellum city.
"sadness to disappointment: After the disastrous 1757 British campaigns (resulting in a failed expedition against Louisbourg and the Siege of Fort William Henry, which was followed by Indian torture and massacres of British victims), the British government fell.","After the disastrous 1757 British campaigns (resulting in a failed expedition against Louisbourg and the Siege of Fort William Henry, which was followed by Indian torture and massacres of British victims), the British government fell."
"admiration to approval: Duty-free port attractions, retail trade, high-end tourism (mostly from North America) and its luxury hotels and villas have increased the island's prosperity, reflected in the high standard of living of its citizens.","Duty-free port attractions, retail trade, high-end tourism (mostly from North America) and its luxury hotels and villas have increased the island's prosperity, reflected in the high standard of living of its citizens."
approval to realization: This increase in the importance of agriculture was attributable to food security needs of the population in the face of uncertainty during the first phases of transition and the collapse of the non-agricultural sectors of the economy in the early 1990s.,The increase in the importance of agriculture was a result of the population's food security needs during the initial phases of transition and the breakdown of non-agricultural sectors in the early 1990s.
realization to disappointment: Agriculture and forestry have declined in importance over the decades.,Agriculture and forestry have declined in importance over the decades.
admiration to approval: It serves as a US presence that demonstrates resolve and compassion in humanitarian crisis.,It serves as a US entity that exhibits resolve and compassion in the midst of humanitarian emergencies.
love to approval: Love in the soul is both the cause and result of true understanding and judgement.,Love in the soul is both the cause and result of true understanding and judgement.
"gratitude to admiration: Combined with a late economic development in many regions, this relatively peaceful history has allowed Canadian Indigenous peoples to have a fairly strong influence on the early national culture while preserving their own identity.","Combined with a late economic development in many regions, this relatively peaceful history has allowed Canadian Indigenous peoples to have a fairly strong influence on the early national culture while preserving their own identity."
"approval to sadness: The more conclusive finding has been that Internet use has a negative effect on the physical health of adolescents, as time spent using the Internet replaces time doing physical activities.","The physical health of adolescents is negatively affected by Internet use, as it takes away from time that could be spent on physical activities."
"disgust to disappointment: At one of the very worst sites, around Sandakan in Borneo, only six of some 2,500 British and Australian prisoners survived.","At a location near Sandakan in Borneo, only six of the 2,500 British and Australian prisoners were able to survive, making it one of the worst sites."
"admiration to love: Although the two displayed great respect and admiration for each other, their friendship was uneasy and had some qualities of a love-hate relationship.","Although they had a strong bond of respect and admiration, their friendship was tinged with a sense of unease and a hint of a love-hate relationship."
"pride to approval: I don't deny it; in fact, I am proud of it.","I accept it, and I even boast about it."
"approval to remorse: I may have violated some specific laws, but I am guilty of doing no wrong.","I may have violated some specific laws, but I am guilty of doing no wrong."
"sadness to disappointment: In recent years, the emerald ash borer has destroyed many of the city's approximately 10,500 ash trees.","In recent years, the emerald ash borer has destroyed many of the city's approximately 10,500 ash trees."
optimism to approval: believe it is reasonable to suggest that lasers will play a major role in air defence starting in the next ten years.,It is reasonable to suggest that air defence will heavily rely on lasers in the next ten years.
"confusion to disapproval: Beyond this, idealists disagree on which aspects of the mental are more basic.","Beyond this, idealists disagree on which aspects of the mental are more basic."
"sadness to disappointment: A series of famines and plagues, including the Great Famine of 1315–1317 and the Black Death, reduced the population to around half of what it was before the calamities.","A series of famines and plagues, including the Great Famine of 1315–1317 and the Black Death, reduced the population to around half of what it was before the calamities."
"joy to admiration: They recorded a resounding 3–0 win in the game, winning their second trophy in three months.","They recorded a resounding 3–0 win in the game, winning their second trophy in three months."
"excitement to joy: Nine months after their Community Shield triumph, Arsenal appeared in the FA Cup final for the second year in a row, thrashing Aston Villa 4–0 in the final and becoming the most successful club in the tournament's history with 12 titles.","Nine months after winning the Community Shield, Arsenal won their second consecutive FA Cup final, beating Aston Villa 4-0, and becoming the most successful club in the tournament's history with 12 titles."
"confusion to realization: In a social context, misunderstandings can arise due to a misinterpretation of the significance of specific markers.",Social misunderstandings can arise from a misreading of the significance of specific markers.
"gratitude to admiration: As a result of modernisation efforts over the years, Egypt's healthcare system has made great strides forward.","As a result of modernisation efforts over the years, Egypt's healthcare system has made great strides forward."
"disappointment to disapproval: Scientific works of Aristotle, Copernicus, and Newton still exhibit great value, but since the science in them has largely become outdated, they no longer serve for scientific instruction.","Although the scientific works of Aristotle, Copernicus, and Newton are still valuable, they are no longer suitable for scientific instruction due to their outdated scientific concepts."
admiration to approval: A SWR of 1:1 is ideal.,A SWR of 1:1 is ideal.
"sadness to disappointment: This has led to the overgrazing and browsing of many plants of the Appalachian forests, as well as destruction of agricultural crops.","This has led to the overgrazing and browsing of many plants of the Appalachian forests, as well as destruction of agricultural crops."
joy to approval: It has enjoyed a privileged position as the main melodic instrument in several different regions of the country.,The primary melodic instrument has enjoyed a privileged status in various parts of the country.
"sadness to disappointment: An additional natural disaster was the Rhine rift earthquake of 1356, one of Europe's worst which made ruins of Basel.","An additional natural disaster was the Rhine rift earthquake of 1356, one of Europe's worst which made ruins of Basel."
sadness to disappointment: This represented the worst defeat suffered by the Japanese Army to that date.,This represented the worst defeat suffered by the Japanese Army to that date.
"admiration to approval: German musicians and, particularly, the pioneering bands Tangerine Dream and Kraftwerk have also contributed to the development of electronic music.","German musicians and, particularly, the pioneering bands Tangerine Dream and Kraftwerk have also contributed to the development of electronic music."
"sadness to disappointment: According to protesters, load shedding was depriving the cities of electricity 20–22 hours a day, causing businesses to go bust and making living extremely hard.","The protesters alleged that load shedding was causing the cities to face electricity deprivation for 20-22 hours a day, leading to the collapse of businesses and making life extremely challenging."
admiration to approval: The faith represents about a third of the world's population and is the largest religion in the world.,"About one-third of the world's population adheres to the faith, making it the most extensive religion worldwide."
"admiration to approval: It helped create a number of highly successful recording artists, such as Kelly Clarkson, Daughtry and Carrie Underwood, as well as others of varying notability.","It helped create a number of highly successful recording artists, such as Kelly Clarkson, Daughtry and Carrie Underwood, as well as others of varying notability."
"surprise to sadness: As prosperity began to return in the 1980s, the city was stunned by the Wah Mee massacre in 1983, when 13 people were killed in an illegal gambling club in the International District, Seattle's Chinatown.","As prosperity began to return in the 1980s, the city was stunned by the Wah Mee massacre in 1983, when 13 people were killed in an illegal gambling club in the International District, Seattle's Chinatown."
"admiration to approval: Impressed by British economic success that he had witnessed from the Ambassador, he successfully implemented similar economic policies in Portugal.","The Ambassador's display of British economic success had a profound impact on him, prompting him to successfully implement similar economic policies in Portugal."
"approval to realization: As the years went by, the three feudal lords and their extensive territories became increasingly autonomous.","As the years went by, the three feudal lords and their extensive territories became increasingly autonomous."
"approval to caring: I'm going to take care of myself.""","I'm going to take care of myself."""
"admiration to surprise: However, much to WWF's surprise, the fans enjoyed Austin's antics so much that he became one of the greatest antiheroes in the history of the business.","However, much to WWF's surprise, the fans enjoyed Austin's antics so much that he became one of the greatest antiheroes in the history of the business."
admiration to approval: Ashkenazi Jews have won a large number of the Nobel awards.,Ashkenazi Jews have won a large number of the Nobel awards.
admiration to approval: Association football is the country's most popular and most televised franchised sport.,"Association football is the most franchised and widely broadcasted sport in the country, and it is also the most popular."
approval to caring: They may help to assure smooth traffic flow between departing and arriving aircraft.,They may help to assure smooth traffic flow between departing and arriving aircraft.
"admiration to approval: At present the Alps are one of the more popular tourist destinations in the world with many resorts such Oberstdorf, in Bavaria, Saalbach in Austria, Davos in Switzerland, Chamonix in France, and Cortina d'Ampezzo in Italy recording more than a million annual visitors.","At present the Alps are one of the more popular tourist destinations in the world with many resorts such Oberstdorf, in Bavaria, Saalbach in Austria, Davos in Switzerland, Chamonix in France, and Cortina d'Ampezzo in Italy recording more than a million annual visitors."
"realization to disappointment: Originally, Canada was thought to have had the third-largest navy in the world, but with the fall of the Soviet Union, new data based on Japanese and Soviet sources found that to be incorrect.","Originally, Canada was thought to have had the third-largest navy in the world, but with the fall of the Soviet Union, new data based on Japanese and Soviet sources found that to be incorrect."
"approval to disapproval: This work has motivated a large number of studies, but is also controversial.","This work has motivated a large number of studies, but is also controversial."
admiration to approval: It is considered the spiritual home of the two sports in Australia.,This is where the two sports in Australia are thought to have their spiritual home.
approval to caring: Avoidance of triggers is a key component of improving control and preventing attacks.,"To improve control and prevent attacks, it is crucial to steer clear of triggers."
"approval to caring: Infections can be prevented by antiseptic measures such as sterilizing the skin prior to piercing it with the needle of a syringe, and by proper care of indwelling catheters.","Proper care of indwelling catheters and antiseptic measures, such as sterilizing the skin before piercing it with a needle, can prevent infections."
"excitement to joy: In 2009, Barcelona became the first Spanish club to win the continental treble consisting of La Liga, Copa del Rey, and the UEFA Champions League, and also became the first football club to win six out of six competitions in a single year, completing the sextuple in also winning the Spanish Super Cup, UEFA Super Cup and FIFA Club World Cup.","In 2009, Barcelona became the first Spanish club to win the continental treble consisting of La Liga, Copa del Rey, and the UEFA Champions League, and also became the first football club to win six out of six competitions in a single year, completing the sextuple in also winning the Spanish Super Cup, UEFA Super Cup and FIFA Club World Cup."
"joy to admiration: That same year, it also became the first football club ever to win six out of six competitions in a single year, thus completing the sextuple, comprising the aforementioned treble and the Spanish Super Cup, UEFA Super Cup and FIFA Club World Cup.","The football club created history by winning all six competitions in a single year, which comprised the treble, Spanish Super Cup, UEFA Super Cup, and FIFA Club World Cup."
"confusion to realization: As scientists have discovered more theropods closely related to birds, the previously clear distinction between non-birds and birds has become blurred.","As scientists have discovered more theropods closely related to birds, the previously clear distinction between non-birds and birds has become blurred."
"approval to realization: In the last decade, the amount of time that adolescents spend on the computer has greatly increased.","In the last decade, the amount of time that adolescents spend on the computer has greatly increased."
"caring to sadness: Because of the magnitude of the quake, and the media attention on China, foreign nations and organizations immediately responded to the disaster by offering condolences and assistance.","Because of the magnitude of the quake, and the media attention on China, foreign nations and organizations immediately responded to the disaster by offering condolences and assistance."
"gratitude to admiration: Today, the success of this program has made cotton the best-selling fiber in the U.S. and one of the best-selling fibers in the world.","Today, the success of this program has made cotton the best-selling fiber in the U.S. and one of the best-selling fibers in the world."
annoyance to disappointment: The Shagari government became viewed as corrupt and incompetent by virtually all sectors of Nigerian society.,The Shagari government became viewed as corrupt and incompetent by virtually all sectors of Nigerian society.
"disappointment to disapproval: Despite development efforts, his combative style during his five terms in office was not well received by many suburban residents.","Despite efforts to advance, his belligerent style during his five terms in office was not well-received by a considerable number of suburban inhabitants."
gratitude to approval: China stated it would gratefully accept international help to cope with the quake.,China stated it would gratefully accept international help to cope with the quake.
excitement to approval: The enthusiasm surrounding Bell's public displays laid the groundwork for universal acceptance of the revolutionary device.,The enthusiasm surrounding Bell's public displays laid the groundwork for universal acceptance of the revolutionary device.
"sadness to disappointment: Recently, its economic status has been affected by the global recession.","In recent times, the economic status of the region has been impacted by the global recession."
"surprise to disappointment: Bern was the site of the 1954 Football (Soccer) World Cup Final, a huge upset for the Hungarian Golden Team, who were beaten 3–2 by West Germany.","Bern was the site of the 1954 Football (Soccer) World Cup Final, a huge upset for the Hungarian Golden Team, who were beaten 3–2 by West Germany."
"admiration to approval: The album has been credited with widening the audiences for the genre, particularly by appealing to women as well as the traditional male dominated audience, and opening the door to MTV and commercial success for other bands at the end of the decade.","The album is attributed with increasing the genre's popularity, especially among female fans, and opening doors for other bands to achieve commercial success and MTV recognition in the late 80s."
gratitude to admiration: Boston's literary culture continues today thanks to the city's many universities and the Boston Book Festival.,"Boston's literary heritage remains vibrant, thanks in part to the city's many universities and the Boston Book Festival."
annoyance to disappointment: Barn systems have been found to have the worst bird welfare.,Barn systems have been found to have the worst bird welfare.
"fear to sadness: I damn-near cried, it made me feel so terrible.""","I was close to tears, it made me feel so miserable."
admiration to approval: Another important development was the popularization of science among an increasingly literate population.,Another important development was the popularization of science among an increasingly literate population.
"disgust to nervousness: Ventilation was so bad that the interior smelled, and when a decision was taken to install gas lamps, there was a serious worry about the build-up of gas on the lower floors.","Ventilation was so bad that the interior smelled, and when a decision was taken to install gas lamps, there was a serious worry about the build-up of gas on the lower floors."
disgust to annoyance: It was also said that staff were lax and lazy and the palace was dirty.,Reports suggested that the palace was dirty and the staff were not diligent in their duties.
"caring to nervousness: Second, Burke worried about the uncertainty surrounding whether Britain would win a conflict in America.","Second, Burke worried about the uncertainty surrounding whether Britain would win a conflict in America."
"gratitude to admiration: Bush himself was receptive to the apology, saying, ""I appreciate that.","Bush himself was receptive to the apology, saying, ""I appreciate that."
"admiration to approval: It worked particularly well on silk, satin and other luxury textiles.","It worked particularly well on silk, satin and other luxury textiles."
"joy to admiration: An enthusiastic boater, Bell and his family sailed or rowed a long series of vessels on Bras d'Or Lake, ordering additional vessels from the H.W.","An enthusiastic boater, Bell and his family sailed or rowed a long series of vessels on Bras d'Or Lake, ordering additional vessels from the H.W."
sadness to disappointment: UN morale hit rock bottom when commanding General Walton Walker of the U.S. Eighth Army was killed on 23 December 1950 in an automobile accident.,"The UN's morale hit an all-time low when General Walton Walker of the U.S. Eighth Army died in a car wreck on December 23, 1950."
"realization to surprise: The Ulm Maneuver completely surprised General Mack, who belatedly understood that his army had been cut off.","The Ulm Maneuver completely surprised General Mack, who belatedly understood that his army had been cut off."
